,time,open,close,high,low,vol
0,1500829200,1,1,1,1,0
1,1500830100,1,1,1,1,0
2,1500831000,1,1,1,1,0
3,1500831900,1,1,1,1,0
4,1500832800,1,1,1,1,0
5,1500833700,1,1,1,1,0
6,1500834600,1,1,1,1,0
7,1500835500,1,1,1,1,0
8,1500836400,1,1,1,1,0
9,1500837300,1,1,1,1,0
10,1500838200,1,1,1,1,0
11,1500839100,1,1,1,1,0
12,1500840000,1,1,1,1,0
13,1500840900,1,1,1,1,0
14,1500841800,1,1,1,1,0
15,1500842700,1,1,1,1,0
16,1500843600,1,1,1,1,0
17,1500844500,1,1,1,1,0
18,1500845400,1,1,1,1,0
19,1500846300,1,1,1,1,0
20,1500847200,1,1,1,1,0
21,1500848100,1,1,1,1,0
22,1500849000,1,1,1,1,0
23,1500849900,1,1,1,1,0
24,1500850800,1,1,1,1,0
25,1500851700,1,1,1,1,0
26,1500852600,1,1,1,1,0
27,1500853500,1,1,1,1,0
28,1500854400,1,1,1,1,0
29,1500855300,1,1,1,1,0
30,1500856200,1,1,1,1,0
31,1500857100,1,1,1,1,0
32,1500858000,1,1,1,1,0
33,1500858900,1,1,1,1,0
34,1500859800,1,1,1,1,0
35,1500860700,1,1,1,1,0
36,1500861600,1,1,1,1,0
37,1500862500,1,1,1,1,0
38,1500863400,1,1,1,1,0
39,1500864300,1,1,1,1,0
40,1500865200,1,1,1,1,0
41,1500866100,1,1,1,1,0
42,1500867000,1,1,1,1,0
43,1500867900,1,1,1,1,0
44,1500868800,1,1,1,1,0
45,1500869700,1,1,1,1,0
46,1500870600,1,1,1,1,0
47,1500871500,1,1,1,1,0
48,1500872400,1,1,1,1,0
49,1500873300,1,1,1,1,0
50,1500874200,1,1,1,1,0
51,1500875100,1,1,1,1,0
52,1500876000,1,1,1,1,0
53,1500876900,1,1,1,1,0
54,1500877800,1,1,1,1,0
55,1500878700,1,1,1,1,0
56,1500879600,1,1,1,1,0
57,1500880500,1,1,1,1,0
58,1500881400,1,1,1,1,0
59,1500882300,1,1,1,1,0
60,1500883200,1,1,1,1,0
61,1500884100,1,1,1,1,0
62,1500885000,1,1,1,1,0
63,1500885900,1,1,1,1,0
64,1500886800,1,1,1,1,0
65,1500887700,1,1,1,1,0
66,1500888600,1,1,1,1,0
67,1500889500,1,1,1,1,0
68,1500890400,1,1,1,1,0
69,1500891300,1,1,1,1,0
70,1500892200,1,1,1,1,0
71,1500893100,1,1,1,1,0
72,1500894000,1,1,1,1,0
73,1500894900,1,1,1,1,0
74,1500895800,1,1,1,1,0
75,1500896700,1,1,1,1,0
76,1500897600,1,1,1,1,0
77,1500898500,1,1,1,1,0
78,1500899400,1,1,1,1,0
79,1500900300,1,1,1,1,0
80,1500901200,1,1,1,1,0
81,1500902100,1,1,1,1,0
82,1500903000,1,1,1,1,0
83,1500903900,1,1,1,1,0
84,1500904800,1,1,1,1,0
85,1500905700,1,1,1,1,0
86,1500906600,1,1,1,1,0
87,1500907500,1,1,1,1,0
88,1500908400,1,1,1,1,0
89,1500909300,1,1,1,1,0
90,1500910200,1,1,1,1,0
91,1500911100,1,1,1,1,0
92,1500912000,1,1,1,1,0
93,1500912900,1,1,1,1,0
94,1500913800,1,1,1,1,0
95,1500914700,1,1,1,1,0
96,1500915600,1,1,1,1,0
97,1500916500,1,1,1,1,0
98,1500917400,1,1,1,1,0
99,1500918300,1,1,1,1,0
100,1500919200,1,1,1,1,0
101,1500920100,1,1,1,1,0
102,1500921000,1,1,1,1,0
103,1500921900,1,1,1,1,0
104,1500922800,1,1,1,1,0
105,1500923700,1,1,1,1,0
106,1500924600,1,1,1,1,0
107,1500925500,1,1,1,1,0
108,1500926400,1,1,1,1,0
109,1500927300,1,1,1,1,0
110,1500928200,1,1,1,1,0
111,1500929100,1,1,1,1,0
112,1500930000,1,1,1,1,0
113,1500930900,1,1,1,1,0
114,1500931800,1,1,1,1,0
115,1500932700,1,1,1,1,0
116,1500933600,1,1,1,1,0
117,1500934500,1,1,1,1,0
118,1500935400,1,1,1,1,0
119,1500936300,1,1,1,1,0
120,1500937200,1,1,1,1,0
121,1500938100,1,1,1,1,0
122,1500939000,1,1,1,1,0
123,1500939900,1,1,1,1,0
124,1500940800,1,1,1,1,0
125,1500941700,1,1,1,1,0
126,1500942600,1,1,1,1,0
127,1500943500,1,1,1,1,0
128,1500944400,1,1,1,1,0
129,1500945300,1,1,1,1,0
130,1500946200,1,1,1,1,0
131,1500947100,1,1,1,1,0
132,1500948000,1,1,1,1,0
