,time,open,close,high,low,vol
0,1500739200,0.145,0.145,0.145,0.145,0.1
1,1500782400,0.145,0.19,0.5,0.145,70.1815
2,1500825600,0.19,0.2,0.21,0.15,135.6636
3,1500868800,0.19,0.1843,0.21,0.181,226.2691
4,1500912000,0.1843,0.16,0.1964,0.16,333.481
5,1500955200,0.18400001,0.177,0.18400001,0.131,1061.9628
6,1500998400,0.17699999,0.153,0.177,0.137,763.8375
7,1501041600,0.152,0.17,0.2,0.12000002,2538.8565
8,1501084800,0.17959999,0.1788,0.21,0.1451,1887.3438
9,1501128000,0.1788,0.1605,0.18,0.155,937.1355
10,1501171200,0.14780001,0.136,0.15999999,0.135,522.0643
11,1501214400,0.136,0.14,0.165,0.08000001,2104.5119
12,1501257600,0.14,0.126,0.165,0.126,1045.8483
13,1501300800,0.13,0.12599999,0.1398,0.113,1324.7975
14,1501344000,0.12599999,0.1261,0.1285,0.12000002,646.9293
15,1501387200,0.12599999,0.1255,0.1289,0.11510001,803.1568
16,1501430400,0.1255,0.117,0.1299,0.1158,708.9842
17,1501473600,0.117,0.1,0.1221,0.0951,2328.7407
18,1501516800,0.1,0.1,0.1149,0.1,1918.5194
19,1501560000,0.1004,0.1275,0.157,0.0952,3091.2793
20,1501603200,0.1299,0.1333,0.1401,0.0801,13731.6086
21,1501646400,0.131,0.1949,0.25,0.1271,8605.1443
22,1501689600,0.1949,0.144,0.204,0.081,29985.1951
23,1501732800,0.144,0.1201,0.162,0.101,27431.5994
24,1501776000,0.1201,0.1236,0.14,0.1013,20276.9022
25,1501819200,0.1238,0.0938,0.125,0.085,27278.068
26,1501862400,0.0938,0.0747,0.103,0.0666,17203.9722
27,1501905600,0.0747,0.07280009,0.0881,0.0671,21820.9932
28,1501948800,0.073,0.065,0.0742,0.061,12557.4811
29,1501992000,0.06559995,0.0617,0.0694,0.06120052,17885.6352
30,1502035200,0.0623,0.0725,0.08309995,0.0615,18297.0271
31,1502078400,0.0738,0.07730008,0.08079997,0.0701,14653.7655
32,1502121600,0.0778,0.092,0.11,0.07730008,15323.1665
33,1502164800,0.0921,0.1083,0.11869999,0.08920006,13576.9478
34,1502208000,0.10830001,0.09800001,0.1101,0.0953,5852.2597
35,1502251200,0.09830001,0.0988,0.1186,0.0951,20657.9147
36,1502294400,0.0988,0.09189999,0.102,0.0902,7232.1997
37,1502337600,0.09189999,0.08470054,0.092,0.0809,7212.7818
38,1502380800,0.085,0.0829,0.0858,0.0801,5104.3938
39,1502424000,0.08260001,0.0915,0.102,0.08260001,12783.9362
40,1502467200,0.0919,0.08909997,0.09699999,0.08720005,4640.7025
41,1502510400,0.08909997,0.08449996,0.09259999,0.0836,4481.8681
42,1502553600,0.08439993,0.07710012,0.08449996,0.0742,4073.2574
43,1502596800,0.0767,0.07799999,0.0791,0.0732,2769.5454
