,time,open,close,high,low,vol
0,1500739200,0.145,0.19,0.5,0.145,70.2815
1,1500825600,0.19,0.1843,0.21,0.15,361.9327
2,1500912000,0.1843,0.177,0.1964,0.131,1395.4438
3,1500998400,0.17699999,0.17,0.2,0.12000002,3302.694
4,1501084800,0.17959999,0.1605,0.21,0.1451,2824.4793
5,1501171200,0.14780001,0.14,0.165,0.08000001,2626.5762
6,1501257600,0.14,0.12599999,0.165,0.113,2370.6458
7,1501344000,0.12599999,0.1255,0.1289,0.11510001,1450.0861
8,1501430400,0.1255,0.1,0.1299,0.0951,3037.7249
9,1501516800,0.1,0.1275,0.157,0.0952,5009.7987
10,1501603200,0.1299,0.1949,0.25,0.0801,22336.7529
11,1501689600,0.1949,0.1201,0.204,0.081,57416.7945
12,1501776000,0.1201,0.0938,0.14,0.085,47554.9702
13,1501862400,0.0938,0.07280009,0.103,0.0666,39024.9654
14,1501948800,0.073,0.0617,0.0742,0.061,30443.1163
15,1502035200,0.0623,0.07730008,0.08309995,0.0615,32950.7926
16,1502121600,0.0778,0.1083,0.11869999,0.07730008,28900.1143
17,1502208000,0.10830001,0.0988,0.1186,0.0951,26510.1744
18,1502294400,0.0988,0.08470054,0.102,0.0809,14444.9815
19,1502380800,0.085,0.0915,0.102,0.0801,17888.33
20,1502467200,0.0919,0.08449996,0.09699999,0.0836,9122.5706
21,1502553600,0.08439993,0.07799999,0.08449996,0.0732,6842.8028
