,time,open,close,high,low,vol
0,1502268480,0.0985,0.0995,0.0995,0.0985,3.0591
1,1502268660,0.09869999,0.09869999,0.09869999,0.09869999,2.14
2,1502268840,0.099,0.09879999,0.09900006,0.09879999,11.2843
3,1502269020,0.0994,0.0998,0.0998,0.0994,17.8816
4,1502269200,0.0996,0.1,0.1,0.0996,91.551
5,1502269380,0.1,0.1009,0.1009,0.0997,99.5579
6,1502269560,0.1002,0.0997,0.10069997,0.0997,29.0307
7,1502269740,0.10069997,0.1002,0.10069997,0.1001,32.8959
8,1502269920,0.1002,0.10020003,0.1186,0.1,366.6584
9,1502270100,0.10020005,0.10020001,0.10699999,0.0996,52.3709
10,1502270280,0.10030003,0.101,0.102067,0.10010001,16.7365
11,1502270460,0.10070008,0.10070008,0.10070008,0.10070008,1.58
12,1502270640,0.10060005,0.1009001,0.10129996,0.10060005,9.0945
13,1502270820,0.1017,0.1017,0.1017,0.1009001,10.3144
14,1502271000,0.1015,0.1011,0.1015,0.1011,5.4839
15,1502271180,0.1011,0.1013,0.1013,0.10080005,41.2487
16,1502271360,0.1014,0.1015,0.1015,0.1013,37.3288
17,1502271540,0.1015,0.10179996,0.10209999,0.10070005,402.7886
18,1502271720,0.10179996,0.1023,0.10499999,0.10154,28.7635
19,1502271900,0.1023,0.10370004,0.1043,0.1023,44.6658
20,1502272080,0.10370004,0.1045,0.10489999,0.10370004,0.8975
21,1502272260,0.1045,0.10490001,0.105,0.1045,302.6357
22,1502272440,0.10490001,0.10530002,0.10530002,0.10490001,19.4947
23,1502272620,0.10530001,0.1049,0.10530001,0.1048,314.2892
24,1502272800,0.1049,0.10469999,0.10499984,0.1045,175.265
25,1502272980,0.1045,0.10429994,0.1045,0.1038,73.7866
26,1502273160,0.1038,0.10399999,0.10399999,0.1038,89.9474
27,1502273340,0.10399999,0.10399999,0.1041,0.10399999,221.9388
28,1502273520,0.10399999,0.10399999,0.10399999,0.10399999,23.1467
29,1502273700,0.10399999,0.104,0.104,0.10399999,28.4709
30,1502273880,0.104,0.10399999,0.10429998,0.10399999,46.9128
31,1502274060,0.10399999,0.104,0.10429995,0.10399999,427.9406
32,1502274240,0.104,0.10399999,0.104,0.10399999,129.3377
33,1502274420,0.10399999,0.10410001,0.1051,0.10399999,199.3898
34,1502274600,0.10410001,0.10399999,0.1042,0.10399999,134.3873
35,1502274780,0.10399999,0.1039,0.104,0.1039,207.496
36,1502274960,0.1039,0.1039,0.1039,0.1039,15.2999
37,1502275140,0.1039,0.1029,0.10390004,0.1029,174.7704
38,1502275320,0.1021,0.1017,0.1022,0.1016,90.303
39,1502275500,0.1018,0.1018,0.1018,0.1018,6.3485
40,1502275680,0.10199999,0.1015,0.1025,0.1015,56.5548
41,1502275860,0.1015,0.1015,0.1015,0.1014,137.3265
42,1502276040,0.1015,0.1015,0.1015,0.1015,86.6901
43,1502276220,0.1015,0.1014,0.1015,0.1014,121.843
44,1502276400,0.1015,0.1014,0.1015,0.1014,162.715
45,1502276580,0.1015,0.1011,0.1015,0.1011,155.1938
46,1502276760,0.1011,0.10050004,0.1011,0.10030004,30.2756
47,1502276940,0.10059995,0.1,0.1013,0.1,66.548
48,1502277120,0.1,0.1001,0.1012,0.1,1.407
49,1502277300,0.1011,0.1011,0.1011,0.1011,0.1277
50,1502277480,0.1002,0.1001,0.1002,0.1001,10.0164
51,1502277660,0.1001,0.1001,0.1001,0.1001,52.1413
52,1502277840,0.1001,0.1001,0.1001,0.0998,11.4679
53,1502278020,0.1001,0.10009999,0.1001,0.10009999,1.6279
54,1502278200,0.1001,0.10009999,0.1001,0.0998,19.9447
55,1502278380,0.1,0.1,0.1,0.1,3
56,1502278560,0.10009999,0.101,0.101,0.10009999,38.3195
57,1502278740,0.101,0.1012,0.1012,0.101,62.2208
58,1502278920,0.101,0.10009999,0.101,0.10009999,46.6234
59,1502279100,0.10009999,0.1001,0.10010001,0.10009999,20.523
60,1502279280,0.1001,0.1,0.1001,0.1,116.3069
61,1502279460,0.1,0.09889999,0.101,0.09879999,464.3659
62,1502279640,0.1,0.106,0.106,0.09760009,249.5301
63,1502279820,0.10199999,0.099,0.106,0.09800003,90.1503
64,1502280000,0.099,0.0980002,0.0991,0.09800009,41.7467
65,1502280180,0.0980002,0.09700001,0.1049,0.0965,460.5499
66,1502280360,0.099,0.0974,0.102,0.09700001,147.6936
67,1502280540,0.098,0.0973,0.099,0.0973,185.0603
68,1502280720,0.0973,0.0973,0.099,0.0972,165.4264
69,1502280900,0.0974,0.0977,0.0986,0.0974,2.4005
70,1502281080,0.0977,0.0979,0.0979,0.0977,10.546
71,1502281260,0.0978,0.098,0.098,0.0978,4.9868
72,1502281440,0.098,0.0979,0.102,0.0978,260.3211
73,1502281620,0.0979,0.098,0.098,0.0979,2.717
74,1502281800,0.098,0.098,0.098,0.098,5.1
75,1502281980,0.098,0.0989,0.099,0.098,18.715
76,1502282160,0.0985,0.09969995,0.09969995,0.0983,51.5865
77,1502282340,0.0992,0.0992,0.1009,0.0991,324.9912
78,1502282520,0.0993,0.0999,0.0999,0.0992,143.7497
79,1502282700,0.0993,0.1,0.102,0.0992,272.8559
80,1502282880,0.0994,0.0995,0.0995,0.0994,41
81,1502283060,0.0995,0.0995,0.0995,0.0995,21.6281
82,1502283240,0.0995,0.1001,0.102,0.0995,235.8012
83,1502283420,0.1001,0.1,0.101,0.1,88.7026
84,1502283600,0.1,0.101,0.1021,0.1,253.6609
85,1502283780,0.1011,0.1005,0.1012,0.1002,26.5611
86,1502283960,0.1005,0.1003,0.102,0.1002,271.3066
87,1502284140,0.1003,0.1,0.1005,0.1,66.2041
88,1502284320,0.1001,0.0996,0.1001,0.0996,18.1534
89,1502284500,0.0996,0.1,0.10079992,0.0996,22.0408
90,1502284680,0.1,0.1001,0.1001,0.1,15.178
91,1502284860,0.1001,0.1001,0.1001,0.1001,15.2597
92,1502285040,0.1001,0.101,0.1011,0.1001,141.9635
93,1502285220,0.1011,0.101,0.1011,0.101,48
94,1502285400,0.101,0.1001,0.101,0.1001,108.6594
95,1502285580,0.1006,0.0995,0.1006,0.0995,95.4445
96,1502285760,0.1004,0.0993,0.1004,0.0993,40.0781
