,time,open,close,high,low,vol
0,1495641600,20000,20000,20000,20000,0.1
1,1495728000,17500,17500,17500,17500,0.01
2,1495814400,16005,15000,16005,12100,0.1333
3,1495900800,15000,17000,17000,15000,0.9784
4,1495987200,14888.32,16927.2,16996.87,14888.32,33.429
5,1496073600,16945.1,17257.95,17792.73,16723.91,70.5633
6,1496160000,17296.14,16899.4,17426.67,16521.03,70.2383
7,1496246400,16899.4,17311.13,17522.36,16800,97.6499
8,1496332800,17311.13,17492.24,17760.72,17005.93,74.8981
9,1496419200,17481.95,17749.5,18218.18,17232.02,79.7067
10,1496505600,17726.14,17710.18,17949.39,17412.33,73.6894
11,1496592000,17731.74,18281.68,18281.68,17438.52,73.2429
12,1496678400,18255.88,19765.29,20169.55,18217,277.147
13,1496764800,19765.29,19040.42,20105.82,18719.21,300.7052
14,1496851200,19056.43,18795.98,19348.92,17819.6,928.1565
15,1496937600,18835.55,19500.71,19659.44,18799.28,915.2266
16,1497024000,19424.35,19934.84,20149.93,19000,1124.7833
17,1497110400,19941.38,20599.71,20777.75,19928.58,1568.5813
18,1497196800,20599.99,19314.06,20994.7,18954.58,1431.5685
19,1497283200,19314.06,19299.66,19595.77,18121.35,1212.9022
20,1497369600,19293.34,18804.96,19549.3,18280.7,507.8499
21,1497456000,18805.31,17199.54,18833.69,17000.59,750.9466
22,1497542400,17199.54,17945,18337.63,17199.54,1113.3775
23,1497628800,17945,19302.46,19314.3,17945,1221.3234
24,1497715200,19300.96,18945.66,19369.95,18630.36,1569.3416
25,1497801600,18919.55,18890.93,19180.89,18680.48,1500.3412
26,1497888000,18890.93,19389.16,19721.07,18835.05,1531.1101
27,1497974400,19389.16,19881.03,20468.98,19013.48,1588.4254
28,1498060800,19879.72,19643.02,19998.09,19230.02,1297.291
29,1498147200,19622.65,19862.49,19949.97,19555.1,597.3607
30,1498233600,19897.73,19600.84,19995,19450.09,831.9999
31,1498320000,19600.67,19669,19910.37,18574.85,807.6586
32,1498406400,19667.52,18249.9,19819.99,18001,731.2503
33,1498492800,18268.71,17300.16,18888.06,16620.64,956.6529
34,1498579200,17300.16,17937.14,18177.06,16962.34,869.0549
35,1498665600,17934.03,17899,18176.03,17588.69,760.0277
36,1498752000,17900,17998.03,18277.46,17735.35,727.2552
37,1498838400,17998.03,17828.9,18150.67,17648.94,740.9536
38,1498924800,17828.9,17196.23,17829.09,16682.86,746.0111
39,1499011200,17196.23,18266.82,18347.35,17066.09,805.7906
40,1499097600,18263,18194.24,18540,17888.25,778.0138
41,1499184000,18152.91,18045.75,18221.16,17629.01,850.5291
42,1499270400,18045.24,18077.58,18349.33,18003.72,862.437
43,1499356800,18077.58,17752,18150,17530,855.9332
44,1499443200,17752.64,17583.03,17799.54,17102.54,890.6452
45,1499529600,17583.03,17789.93,17937.41,17425.67,903.3768
46,1499616000,17789.93,17185.8,17813.97,17180,911.6849
47,1499702400,17191,16607.86,17360.89,16210,956.9827
48,1499788800,16630.78,16700.18,16760.25,16170.62,727.6937
49,1499875200,16720.03,16410,17131.97,16361,935.828
50,1499961600,16410.1,15619.35,16599.55,15595.24,721.8226
51,1500048000,15619.35,13890.55,15816,13570.03,1536.3261
52,1500134400,13899.97,13467.99,14510,12941.05,1511.5961
53,1500220800,13524.96,14238.39,14458.8,13250,1230.5264
54,1500307200,14238,15921.65,15991.67,14199.94,1492.8602
55,1500393600,15898.2,16055.05,16515.47,15228.03,1311.9441
56,1500480000,16053.01,17519.87,17831.99,15759.2,826.384
57,1500566400,17485.98,18315.49,19741.8,17481.08,1320.4392
58,1500652800,18312.97,18655,19365.7,8000.97,1530.588
59,1500739200,18655,18313.6,19022.27,16000,2157.4999
60,1500825600,18319.8,18527.24,18749.46,17800,1533.1582
61,1500912000,18400.4,17756.06,18859.01,17400.05,1707.2501
62,1500998400,17725.98,16724.15,25000,16501,1482.8908
63,1501084800,16780.44,17600,17750.03,16554.67,1966.6025
64,1501171200,17486.03,18875,19410.21,17372.13,1776.7859
65,1501257600,18875,18694,19303,18420.09,856.7525
66,1501344000,18718,18639.94,18802.81,18000.01,984.8642
67,1501430400,18669.97,18807.85,19250,18300.69,1586.8061
68,1501516800,18849,17765,19777.6,15884.2,2941.3933
69,1501603200,17899.97,18150.41,18600,17696.03,2133.8364
70,1501689600,18150.41,18730,19400.03,18150.41,3830.7535
71,1501776000,18730,19466.99,19600,18600,2955.8649
72,1501862400,19466.99,21434.59,21600,19000,2038.0821
73,1501948800,21358.76,21910,22550,21158.52,1164.5665
74,1502035200,21911.36,22436.61,22799.8,21156,867.4508
75,1502121600,22406.66,22731.24,23499.84,21611,1296.0429
76,1502208000,22593.11,22131.03,23199.94,21582.01,904.8805
77,1502294400,22175,22618.32,22825.48,21980.03,508.3318
78,1502380800,22618.32,23620.99,23731.66,22400.1,733.7964
79,1502467200,23620.95,25700.04,25788.8,23100,877.8283
80,1502553600,25700.93,26250,28000,25475.48,901.0656
