,time,open,close,high,low,vol
0,1502268480,22758.95,22705.62,22758.95,22705.62,0.1041
1,1502268660,22757.5,22630,22757.5,22630,7.5027
2,1502268840,22749.52,22689.27,22749.52,22689.27,0.4414
3,1502269020,22689.23,22733.92,22749.52,22689.23,2.0102
4,1502269200,22729,22730,22730,22700,2.369
5,1502269380,22720,22720,22720,22720,0.0437
6,1502269560,22720,22720,22725,22720,4.2535
7,1502269740,22720,22720,22720,22720,0
8,1502269920,22725,22725,22725,22725,2.1986
9,1502270100,22720.01,22725,22725,22720,2.955
10,1502270280,22725,22720,22725,22720,0.7923
11,1502270460,22724,22724,22724,22724,6.0907
12,1502270640,22724,22724,22724,22724,2.2173
13,1502270820,22724,22724,22724,22724,0.3678
14,1502271000,22724,22724,22724,22724,0
15,1502271180,22724,22724,22724,22720,4.5295
16,1502271360,22724,22724,22724,22724,0.2317
17,1502271540,22724,22729,22730,22724,14.0038
18,1502271720,22720,22729,22729,22683.73,4.8949
19,1502271900,22729,22728.95,22729,22680,4.1679
20,1502272080,22728.95,22728.95,22728.95,22728.95,0
21,1502272260,22728.95,22728.95,22728.95,22728.95,0
22,1502272440,22728.66,22680,22728.66,22680,1.7294
23,1502272620,22600.03,22600.03,22600.03,22600.03,0.8782
24,1502272800,22637.52,22560,22637.52,22560,4.9293
25,1502272980,22514.38,22510.61,22514.38,22475.16,1.2406
26,1502273160,22508.81,22508.81,22508.81,22508.81,0.01
27,1502273340,22415.37,22412.99,22449.68,22412.99,1.9402
28,1502273520,22412.99,22412.99,22412.99,22412.99,0
29,1502273700,22412.59,22357.48,22412.59,22357.48,4.2958
30,1502273880,22323.96,22213.59,22323.96,22213.59,1.7765
31,1502274060,22213.58,22150.01,22213.59,22113.59,11.8553
32,1502274240,22211.08,22180,22250,22160.06,5.9078
33,1502274420,22339.56,22300,22339.61,22201.52,6.2576
34,1502274600,22300,22220.22,22409,22215.33,21.1291
35,1502274780,22367.97,22301.92,22367.97,22301.54,0.7586
36,1502274960,22224.77,22100,22224.77,22100,10.2296
37,1502275140,22100.78,22031.21,22100.78,22031,10.4519
38,1502275320,22031.37,22031.3,22031.37,22031.3,2.4836
39,1502275500,22187.56,22187.56,22187.56,22187.56,0.3239
40,1502275680,22185.58,22187.32,22268.89,22185.56,0.764
41,1502275860,22267.67,22203.57,22267.8,22202.63,5.1727
42,1502276040,22204.79,22107.91,22266.97,22107.91,5.9
43,1502276220,22150.12,22222,22222,22094.37,6.2847
44,1502276400,22221.96,22250,22250,22133.59,5.7736
45,1502276580,22250,22267,22267,22220,2.1875
46,1502276760,22267,22267,22267,22267,2.0198
47,1502276940,22267,22273,22273,22248,14.9747
48,1502277120,22273,22273,22273,22273,0.2773
49,1502277300,22273,22273,22273,22273,0
50,1502277480,22212.24,22212.24,22212.24,22212.24,0.48
51,1502277660,22267.24,22267.25,22267.25,22267.24,0.52
52,1502277840,22229.76,22200,22229.76,22199.88,1.5423
53,1502278020,22199.86,22199.86,22199.86,22199.86,0.2144
54,1502278200,22076.61,22076.06,22199.96,22076.06,1.473
55,1502278380,22040.03,22040.08,22040.08,22040.03,0.722
56,1502278560,22170,22170,22170,22170,0.0631
57,1502278740,22170,22170,22170,22170,0
58,1502278920,22121.98,22040.11,22121.98,22040.11,10
59,1502279100,22171.72,22167.54,22171.72,22167.4,0.3065
60,1502279280,22162.94,22184.99,22185,22162.94,9.9667
61,1502279460,22184.96,22182.8,22184.96,22182.76,11.9358
62,1502279640,22182.88,22182.88,22182.88,22182.8,4.2574
63,1502279820,22182.88,22182.88,22182.88,22182.8,3.0478
64,1502280000,22182.88,22182.88,22182.88,22182.88,0.8475
65,1502280180,22182.88,22180,22183,22150,17.9631
66,1502280360,22180,22180,22180,22180,3.9624
67,1502280540,22180,22367.3,22367.97,22179.99,14.3245
68,1502280720,22366.73,22205.38,22368,22205.38,19.4008
69,1502280900,22205.38,22205.35,22205.38,22205.17,1.3531
70,1502281080,22205.35,22205.35,22205.35,22205.35,0
71,1502281260,22206.19,22160,22206.19,22160,7.7075
72,1502281440,22160,22160,22160,22160,0.1817
73,1502281620,22159.88,22159.84,22159.88,22159.84,0.4171
74,1502281800,22159.84,22159.84,22159.84,22159.84,0
75,1502281980,22160,22160,22160,22159.97,1.5492
76,1502282160,22160,22160,22160,22160,1.8372
77,1502282340,22160,22160,22160,22140.01,3.8442
78,1502282520,22160,22150,22160,22150,3.7355
79,1502282700,22150,22160,22160,22140.01,1.5654
80,1502282880,22160,22160,22160,22150,2.2671
81,1502283060,22160,22160,22160,22160,0
82,1502283240,22249.49,22249.79,22250,22168.52,3.7612
83,1502283420,22210.49,22140.37,22210.69,22140.12,1.9032
84,1502283600,22140.62,22200,22242.12,22030.07,6.5023
85,1502283780,22240.79,22240.05,22240.79,22239.75,1.115
86,1502283960,22240.59,22240.59,22240.59,22240.59,0.0222
87,1502284140,22250,22250,22250,22250,0.1084
88,1502284320,22250,22250,22250,22250,0.9229
89,1502284500,22250,22250,22250,22250,0
90,1502284680,22240.59,22240.59,22240.59,22240.59,0.2036
91,1502284860,22240.59,22240.59,22240.59,22240.59,0
92,1502285040,22075.05,22231.84,22231.84,22074.94,0.3806
93,1502285220,22215.9,22215.9,22215.9,22215.9,0.045
94,1502285400,22215.9,22215.9,22215.9,22215.9,0
95,1502285580,22204.82,22209.25,22209.25,22204.82,6.158
96,1502285760,22221.84,22235.87,22235.87,22221.84,0.35
97,1502285940,22238,22237.99,22238,22237.99,0.965
98,1502286120,22230,22230,22230,22230,1.5869
99,1502286300,22186.99,22186.95,22186.99,22186.95,0.884
100,1502286480,22226.36,22228.99,22228.99,22226.32,0.3727
101,1502286660,22210,22210,22210,22210,0.4725
102,1502286840,22210,22210,22210,22210,0
103,1502287020,22210,22210,22210,22210,0
104,1502287200,22083.57,22000,22083.57,22000,9.2941
