,time,open,close,high,low,vol
0,1495713600,20000,20000,20000,20000,0.1
1,1495728000,20000,20000,20000,20000,0
2,1495742400,20000,20000,20000,20000,0
3,1495756800,17500,17500,17500,17500,0.01
4,1495771200,17500,17500,17500,17500,0
5,1495785600,17500,17500,17500,17500,0
6,1495800000,17500,17500,17500,17500,0
7,1495814400,17500,17500,17500,17500,0
8,1495828800,17500,17500,17500,17500,0
9,1495843200,17500,17500,17500,17500,0
10,1495857600,16005,15000,16005,12100,0.1333
11,1495872000,15000,15000,15000,15000,0
12,1495886400,15000,15000,15000,15000,0
13,1495900800,15000,15000,15000,15000,0
14,1495915200,15000,15000,15000,15000,0
15,1495929600,15000,15000,15000,15000,0.9666
16,1495944000,15000,15000,15000,15000,0
17,1495958400,17000,17000,17000,17000,0.0118
18,1495972800,17000,17000,17000,17000,0
19,1495987200,17000,17000,17000,17000,0
20,1496001600,17000,17000,17000,17000,0
21,1496016000,14888.32,14929.54,14929.54,14888.32,33.429
22,1496030400,14879.18,16767.44,16767.44,14760.28,10.9389
23,1496044800,16769.71,16852.07,16852.62,16615.15,2.4627
24,1496059200,16651.43,16927.2,16996.87,16651.43,19.0658
25,1496073600,16945.1,17618.78,17750.1,16723.91,11.8873
26,1496088000,17610.69,17421.12,17768.19,17033.61,11.7497
27,1496102400,17426.93,17601.1,17670.23,17082.45,11.8011
28,1496116800,17632.14,17468.28,17792.73,17384.44,10.9702
29,1496131200,17507.51,17328.64,17645.94,17296.64,11.4188
30,1496145600,17284.82,17257.95,17471.94,17118.73,12.7362
31,1496160000,17296.14,17225.32,17307.1,16910.8,11.8084
32,1496174400,17227.86,17108.7,17426.67,16910.82,11.5915
33,1496188800,17206.92,16635.58,17243.57,16635.58,10.9024
34,1496203200,16633.53,16866.82,16975.35,16521.03,11.5967
35,1496217600,16866.82,16913.88,17098,16746.94,11.8808
36,1496232000,16896.32,16899.4,17412.25,16645.86,12.4585
37,1496246400,16899.4,16910.77,17349.16,15915.9,20.4666
38,1496260800,16931.7,16813.84,17488.06,16800,16.0508
39,1496275200,16769.38,16558.92,17324.53,16528.85,16.3741
40,1496289600,16558.92,16533,17126.13,16515.7,14.2001
41,1496304000,16533,17225.7,17522.36,16533,17.9363
42,1496318400,17265.37,17311.13,17471.04,17115.29,12.622
43,1496332800,17311.13,17261.48,17503.55,17005.93,12.8278
44,1496347200,17292.2,17533.12,17696.77,17292.2,13.0383
45,1496361600,17517.99,17539.26,17676.01,17388.33,12.31
46,1496376000,17549.98,17628.46,17760.72,17492.14,11.4789
47,1496390400,17645.25,17531.15,17645.25,17375.83,12.4453
48,1496404800,17531.15,17492.24,17580.35,17380.28,12.7978
49,1496419200,17481.95,17544.68,17745.66,17400,12.2621
50,1496433600,17544.68,18106.94,18135.39,17540.79,12.1571
51,1496448000,18106.94,17606.56,18218.18,17606.56,12.8392
52,1496462400,17617.25,17559.47,17617.25,17232.02,16.471
53,1496476800,17589.51,17535.05,17628.8,17380.17,12.6456
54,1496491200,17535.05,17749.5,17802.81,17276.02,13.3317
55,1496505600,17726.14,17597.83,17947.55,17554.31,11.6675
56,1496520000,17621.65,17677.04,17949.39,17555.69,12.1372
57,1496534400,17689.09,17580.11,17720.01,17412.33,12.9564
58,1496548800,17564,17663.14,17729.75,17523.42,12.3072
59,1496563200,17643.48,17852.48,17885.17,17643.48,12.3963
60,1496577600,17870.6,17710.18,17920.51,17669.27,12.2248
61,1496592000,17731.74,17569.56,17755.55,17569.56,12.9172
62,1496606400,17569.56,17729.5,17775.27,17438.52,11.6347
63,1496620800,17740.54,17935.68,18017.09,17663.21,12.7787
64,1496635200,17939.29,17910.91,18017.39,17808.11,10.7974
65,1496649600,17910.91,18067.4,18120.47,17910.91,12.2813
66,1496664000,18067.4,18281.68,18281.68,17950.45,12.8336
67,1496678400,18255.88,18702.32,18725.79,18217,14.2707
68,1496692800,18702.32,19056.55,19186.39,18650.36,18.7072
69,1496707200,19088.87,19750.78,20072.93,19059.55,15.6577
70,1496721600,19763.7,19833.59,20006.85,19744.35,16.5106
71,1496736000,19832.81,19754.67,19860.62,19692.18,51.9822
72,1496750400,19770.19,19765.29,20169.55,19560.5,160.0186
73,1496764800,19765.29,19669.61,19767.59,19594.55,20.9519
74,1496779200,19669.61,20033.19,20105.82,19669.61,18.1367
75,1496793600,19990.77,19959.65,20090.1,19753.76,43.2597
76,1496808000,19959.65,19783.97,19967.64,19654.81,89.2636
77,1496822400,19783.97,19550.27,19786.88,19370.2,39.7198
78,1496836800,19549.5,19040.42,19633.3,18719.21,89.3735
79,1496851200,19056.43,19200.4,19348.92,19002.72,84.3688
80,1496865600,19200.5,18351.37,19200.5,18323.37,116.1525
81,1496880000,18399.37,18750.56,18847.93,17819.6,171.3848
82,1496894400,18750.56,19050.45,19284.27,18750.56,223.6307
83,1496908800,19065.49,19150.64,19270.97,18988.09,236.6514
84,1496923200,19096.35,18795.98,19096.35,18668.66,95.9683
85,1496937600,18835.55,18960.97,19081.74,18799.28,151.4849
86,1496952000,19004.28,19408.82,19408.82,19004.28,203.3903
87,1496966400,19400.2,19619.87,19659.44,19399.4,236.0955
88,1496980800,19529.21,19300.58,19570.21,19227.86,96.7872
89,1496995200,19299.96,19293.28,19449.15,19238.43,76.9795
90,1497009600,19299.11,19500.71,19619.33,19299.11,150.4892
91,1497024000,19424.35,19399.52,19531.08,19239.15,120.6173
92,1497038400,19399.52,19318.81,19512.06,19231.74,84.7587
93,1497052800,19318.81,19519.44,19549.94,19309.89,184.8718
94,1497067200,19527.35,19369.37,19550.17,19361.55,86.2011
95,1497081600,19361.94,20038.34,20045.88,19000,307.9465
96,1497096000,20045.29,19934.84,20149.93,19934.84,340.3879
97,1497110400,19941.38,20340.35,20396.52,19928.58,346.7278
98,1497124800,20340.34,20562.38,20777.75,20219.81,285.344
99,1497139200,20562.38,20421.13,20600.69,20337.32,290.7208
100,1497153600,20420.5,20357.74,20446.13,20150.66,285.1292
101,1497168000,20395.99,20319.15,20500,20302.73,170.807
102,1497182400,20302.73,20599.71,20599.99,20224.22,189.8525
103,1497196800,20599.99,20730.84,20994.7,20599.71,298.9572
104,1497211200,20730.76,20871.4,20949.11,20559.77,371.5687
105,1497225600,20871.41,20806.78,20982.34,20690.7,225.384
106,1497240000,20810.11,20639.02,20830.13,20638.22,75.9297
107,1497254400,20638.22,19133.15,20661.61,18954.58,183.5569
108,1497268800,19133.15,19314.06,19699.53,18999.71,276.172
109,1497283200,19314.06,18540.09,19332.63,18121.35,432.922
110,1497297600,18540.1,19015,19289.45,18540.1,289.3521
111,1497312000,19015,19105.7,19339.04,19002.46,243.7408
112,1497326400,19108,19457.04,19477.08,18939.91,138.7222
113,1497340800,19594.94,19200.81,19595.77,19199.08,52.6314
114,1497355200,19365.5,19299.66,19450.41,19124.03,55.5337
115,1497369600,19293.34,19238.05,19390.29,19238.05,58.2606
116,1497384000,19316.05,19301.01,19421,19070.02,1.7867
117,1497398400,19245,19320,19549.3,19229.04,62.2852
118,1497412800,19319.16,19242.26,19450,19204.45,27.4793
119,1497427200,19241.61,19300.58,19394.93,19210.37,163.4661
120,1497441600,19300,18804.96,19333.75,18280.7,194.572
121,1497456000,18805.31,18667.97,18833.69,18277.42,104.2388
122,1497470400,18666.28,18300.88,18666.28,18000.58,104.9733
123,1497484800,18326.14,18150.64,18418.08,17540.86,110.9381
124,1497499200,18155.09,17765.2,18169.49,17001.16,83.2146
125,1497513600,17749.58,17338.57,17915,17190,142.7889
126,1497528000,17303,17199.54,17659.62,17000.59,204.7929
127,1497542400,17199.54,17669.19,17690.56,17199.54,201.6195
128,1497556800,17685.69,18000,18238.98,17651.76,186.89
129,1497571200,18000,18010.03,18194,17749,174.9153
130,1497585600,18012.8,18290.07,18295.03,17908.2,177.7169
131,1497600000,18295.72,17760.03,18337.63,17626.2,181.2805
132,1497614400,17760.26,17945,18029.9,17661,190.9553
133,1497628800,17945,18426.42,18470,17945,174.768
134,1497643200,18426.02,18249.97,18555.1,18059.16,176.4021
135,1497657600,18249.97,18460.38,18500.4,18100.01,202.2877
136,1497672000,18460.89,18663.25,19144.9,18460.89,180.219
137,1497686400,18663.25,18869.87,18885.83,18565.13,219.9369
138,1497700800,18869.87,19302.46,19314.3,18779.67,267.7097
139,1497715200,19300.96,19297.47,19318.39,19050.11,254.7762
140,1497729600,19297.47,19001.14,19369.95,18976.51,252.0499
141,1497744000,19022.75,18990.87,19150.99,18755.99,258.0455
142,1497758400,18975.65,18793.14,19194.79,18793.14,275.2662
143,1497772800,18779.45,18890.42,18946.41,18630.36,273.7659
144,1497787200,18890.97,18945.66,18999,18674.86,255.4379
145,1497801600,18919.55,18891.57,18999.87,18836.77,243.1
146,1497816000,18891.45,18830.51,18902.03,18758.67,239.0136
147,1497830400,18834.92,19040.41,19050,18680.48,251.6647
148,1497844800,19040.41,19120,19168.81,18851.66,236.3377
149,1497859200,19120,18984.64,19180.89,18850.01,264.3634
150,1497873600,18984.92,18890.93,19088.11,18818.61,265.8618
151,1497888000,18890.93,18898.06,18998.52,18850.09,258.0052
152,1497902400,18898.06,19080,19080,18835.05,242.8078
153,1497916800,19080,19399.69,19721.07,19078.14,266.0289
154,1497931200,19399.68,19344.71,19580.29,19190.03,255.1454
155,1497945600,19325.75,19217.45,19344.71,19060.72,257.8774
156,1497960000,19235.35,19389.16,19420.6,19101.69,251.2454
157,1497974400,19389.16,20050.54,20050.54,19381,258.6702
158,1497988800,20033.03,20029.69,20199.97,19818.8,247.8131
159,1498003200,20008.67,20388.86,20430.35,19823.97,269.9668
160,1498017600,20388.86,19776.55,20468.98,19013.48,284.147
161,1498032000,19749.8,19775.22,19800,19460.83,259.2135
162,1498046400,19780.36,19881.03,19985.97,19551.57,268.6148
163,1498060800,19879.72,19815.03,19959.93,19700.09,252.5355
164,1498075200,19815.03,19918.65,19998.09,19630.3,252.74
165,1498089600,19918.27,19700.76,19947,19615.45,246.4989
166,1498104000,19700.56,19523.11,19759.53,19230.02,256.982
167,1498118400,19523.11,19700.03,19810,19523.11,176.8702
168,1498132800,19720.21,19643.02,19839.34,19588.03,111.6644
169,1498147200,19622.65,19680.47,19744.89,19555.1,74.71
170,1498161600,19666.44,19700.36,19799.48,19560.24,66.51
171,1498176000,19700.36,19852.12,19899.99,19678.93,57.9622
172,1498190400,19852.61,19790,19949.97,19730.33,115.56
173,1498204800,19800,19851.99,19860,19690.66,150.558
174,1498219200,19858.62,19862.49,19936.93,19770.22,132.0605
175,1498233600,19897.73,19879.49,19995,19855.54,133.9
176,1498248000,19899.86,19765.61,19915.85,19765.61,135.97
177,1498262400,19789.16,19765.48,19880.65,19730.34,143.2012
178,1498276800,19764.58,19850.1,19900,19714.53,143.15
179,1498291200,19850.1,19908.88,19955,19840,133.85
180,1498305600,19908.88,19600.84,19955.75,19450.09,141.9287
181,1498320000,19600.67,19153.97,19650.75,19119.15,150.3331
182,1498334400,19170.57,19200,19400,19010.02,146.0112
183,1498348800,19199.37,19100.79,19200,18574.85,170.0347
184,1498363200,19110.03,19200.96,19367.35,19110.03,139.748
185,1498377600,19195.15,19799.2,19799.34,19173.9,99.0022
186,1498392000,19799.2,19669,19910.37,19640.75,102.5294
187,1498406400,19667.52,19627,19805,19539.87,107.0899
188,1498420800,19660,19739.15,19819.99,19500.41,18.1399
