,time,open,close,high,low,vol
0,1498579200,270,284.7,292.6,268.3,11650.6157
1,1498665600,284.68,286.32,297.21,275.19,17007.6639
2,1498752000,286.32,292,294.66,281.78,16636.8566
3,1498838400,292.5,283.31,293.3,281.2,16558.4829
4,1498924800,284.73,271.01,285.5,258.1,17034.1153
5,1499011200,271.01,336,338.81,271.01,17755.875
6,1499097600,336,357.67,374.88,319.14,17326.2653
7,1499184000,357.67,355.28,379.82,345.3,19741.2832
8,1499270400,355.85,349,367.9,344.1,36665.3157
9,1499356800,349,328.68,356.15,316.01,37229.88
10,1499443200,328.68,345.35,350.45,302.36,38067.4703
11,1499529600,345.35,347.52,365.3,336.11,37223.6013
12,1499616000,347.52,329.2,352,326.56,37943.9036
13,1499702400,329.2,318.87,336.7,307.3,37843.0265
14,1499788800,318.79,332.6,335.18,305.55,31315.4816
15,1499875200,332.7,315.8,341.8,313.1,37017.8537
16,1499961600,315.61,291,320.46,285.25,24696.6882
17,1500048000,290.5,268.47,295.48,259.4,38601.7777
18,1500134400,268.47,269.25,284,257,35944.1046
19,1500220800,269.33,282.03,293.06,268.45,36304.5741
20,1500307200,282.93,304.6,307.48,281.82,22348.8754
21,1500393600,304.81,291.68,308.12,287.01,10100.0929
22,1500480000,291.97,305.19,305.19,280.9,6147.997
23,1500566400,304.71,308.18,327.55,299.43,9874.5678
24,1500652800,308.54,310.09,318.97,305.68,7798.7894
25,1500739200,310.01,300.4,314.5,282.63,9828.6891
26,1500825600,300.7,297.53,304.22,287.6,5293.226
27,1500912000,297.31,288.71,304.4,284.41,7167.5612
28,1500998400,288.73,277.58,291.5,273.74,6305.2259
29,1501084800,276.83,283.44,289.88,276.83,4228.4304
30,1501171200,282.8,280,290.03,273.98,6925.4019
31,1501257600,280.01,267.97,281.48,262.01,6420.0741
32,1501344000,267.97,273.97,284,266.81,8902.0226
33,1501430400,273.97,294,297.01,263,14127.6059
34,1501516800,294,283.5,295,273.05,18907.3728
35,1501603200,284,286.66,349.8,280.7,19056.2702
36,1501689600,286.65,290.64,295.11,281.23,23657.386
37,1501776000,290.64,295.09,299.74,287.8,12789.6613
38,1501862400,295.09,310.93,319.25,291.84,14972.5634
39,1501948800,310.99,312.8,322.86,303.77,14981.0689
40,1502035200,312.8,306.32,313.9,303.77,14089.0305
41,1502121600,306.32,310.5,314,302.02,15464.373
42,1502208000,310.53,321.25,343,308.42,21968.5383
43,1502294400,321.23,320.8,326.91,310.63,12873.0468
44,1502380800,320.8,310.35,321.04,305.12,14413.4364
45,1502467200,310.13,313.48,318.5,308.2,13707.0272
46,1502553600,313.83,311.09,328,303,10323.1679
