,time,open,close,high,low,vol
0,1498618800,270,272.97,273.78,270,772.28
1,1498622400,272.8,270.04,275.5,270.04,1312.49
2,1498626000,270.04,272.5,273.32,268.3,1144.45
3,1498629600,272.52,271.44,272.52,268.4,1060.75
4,1498633200,271.44,276.21,278.1,271.44,1170.33
5,1498636800,276.21,282.49,283.99,276.03,1027.1779
6,1498640400,282.49,284.1,289,281.92,935.9493
7,1498644000,284,280.67,284,278,944.5807
8,1498647600,280.4,284.8,284.8,278.98,784.473
9,1498651200,283.61,283.1,286.3,282.56,752.677
10,1498654800,283.1,290.4,292.6,283.1,703.451
11,1498658400,290.44,286.55,291.39,285,534.9753
12,1498662000,286.57,284.7,289.82,283.87,507.0315
13,1498665600,284.68,288.51,288.51,283.01,161.5
14,1498669200,288.52,288.8,290.34,287.13,148.94
15,1498672800,288.8,292.69,292.69,287.1,183.8
16,1498676400,292.7,294.5,294.97,292,173.0727
17,1498680000,294.97,296.42,296.42,294.01,217.33
18,1498683600,296.5,293.2,297.21,292.82,310.96
19,1498687200,293.2,292,295.92,291.2,417.0936
20,1498690800,292,292.1,295.3,291.26,507.02
21,1498694400,292.1,291.12,292.1,288.96,611.57
22,1498698000,291.22,282.6,291.77,282,673.46
23,1498701600,282.66,286,288.34,278.89,1492.9972
24,1498705200,286,284.99,288.42,284.01,1349.7
25,1498708800,285,290.4,290.43,284.47,1384.56
26,1498712400,290.1,289.28,291.76,288,1278.01
27,1498716000,289.28,287.45,289.38,285.42,1101.7799
28,1498719600,287.3,288.89,290.1,287.3,1058.71
29,1498723200,288.89,287,288.9,285,987.065
30,1498726800,287,284.6,288.7,283.36,807.9826
31,1498730400,284.6,283.7,284.6,280.22,902.9066
32,1498734000,283.7,279.4,283.71,275.19,762.4694
33,1498737600,279.5,281.96,282.8,278.63,735.738
34,1498741200,281.49,283.9,285.15,280.66,657.4072
35,1498744800,283.64,284.1,286,281.6,576.0976
36,1498748400,284.09,286.32,286.32,283.31,507.4941
37,1498752000,286.32,291,293.21,284.91,170.5082
38,1498755600,291.19,290.1,294.66,290.1,161.95
39,1498759200,290.1,293.31,293.95,289.58,159.36
40,1498762800,293.95,291,293.98,290.02,149.31
41,1498766400,291,291,292.4,290.2,229.79
42,1498770000,291,286.9,291.7,286.77,296.16
43,1498773600,286.9,288,289.71,286.5,400.39
44,1498777200,288,284.4,288.5,284.4,496.09
45,1498780800,284.4,286.7,287.8,284.37,510.47
46,1498784400,286.2,286.01,288.43,285.66,610.1
47,1498788000,286.01,284.49,286.59,283.66,1470.1593
