,time,open,close,high,low,vol
0,1502268480,332.15,332.39,332.49,332.15,4.63
1,1502268660,332.39,332.52,332.52,332.39,9.72
2,1502268840,333,333.01,333.01,333,12.61
3,1502269020,333,332.22,333,332.22,12.938
4,1502269200,332.19,332.6,332.69,332.19,18.3
5,1502269380,333,333.5,333.5,332.6,32.21
6,1502269560,333.7,333.97,333.98,333.7,56.046
7,1502269740,334,334.96,334.96,333.96,48.0685
8,1502269920,334.99,342.63,343,334.99,600.5516
9,1502270100,339.33,338.51,340.04,338.51,141.2499
10,1502270280,338.14,337.96,338.14,334.96,77.738
11,1502270460,337.8,337.84,337.92,337.8,29.7056
12,1502270640,337.94,337.81,337.94,337.8,12.27
13,1502270820,337.8,337.1,337.8,337.1,38.59
14,1502271000,337.2,337.12,337.48,337.1,32.35
15,1502271180,337.12,336.22,337.12,336.22,35.05
16,1502271360,336.22,336,336.55,336,50.2108
17,1502271540,336.01,335.74,336.02,335.7,13.78
18,1502271720,335.33,335.18,335.97,329.99,1597.8949
19,1502271900,335.15,336.8,337.33,335.1,32.3814
20,1502272080,335.69,334.86,335.69,334.86,40.8366
21,1502272260,334.71,332.5,334.71,329.41,193.478
22,1502272440,333.1,333,333.79,333,41.4
23,1502272620,332.59,330.63,332.79,330.63,38.29
24,1502272800,330.99,328.31,330.99,328.31,43.1901
25,1502272980,328.16,328.57,329.86,328.16,21.05
26,1502273160,328.3,328.89,328.89,327.87,15.16
27,1502273340,328.89,326,329,326,40.4857
28,1502273520,326,325.39,326,321.87,155.4508
29,1502273700,325.34,323.34,326.13,323.28,145
30,1502273880,323.32,321.9,323.32,319.15,100.2306
31,1502274060,323.01,323,323.11,320.67,105.2504
32,1502274240,324.89,325.98,326.19,324.89,49.5378
33,1502274420,325.88,323.16,325.88,321.24,124.9807
34,1502274600,322.8,322.87,322.87,321.64,16.19
35,1502274780,323,323.25,323.65,322.8,28.17
36,1502274960,323.6,322.02,323.6,322.02,7.55
37,1502275140,321.35,321.99,322,319.49,839.9971
38,1502275320,322.11,324.65,324.85,322.11,9.555
39,1502275500,324.15,323.89,324.15,323.2,14.56
40,1502275680,323.78,325.47,325.85,323.71,3.51
41,1502275860,325.3,326.95,326.95,323.4,17.531
42,1502276040,326.91,325.53,326.91,325.01,21.8739
43,1502276220,324.99,325,325.39,324,53.0978
44,1502276400,325.01,326.07,326.85,323.61,163.7104
45,1502276580,326.87,326.76,326.87,326.33,41.7939
46,1502276760,326.87,327.58,328,326.87,193.2351
47,1502276940,327.8,328.22,328.22,327.8,12.36
48,1502277120,328.11,328,330,328,446.8491
49,1502277300,327.7,325.46,327.7,325.46,32.4
50,1502277480,325.56,325.08,325.61,325.01,15.6
51,1502277660,324.8,323.97,324.8,323.9,23.61
52,1502277840,323.3,323.98,324,323.3,11.63
53,1502278020,324.08,324.06,324.08,324.06,3.621
54,1502278200,324.29,323.97,325.42,323.97,378.5296
55,1502278380,323.97,321.93,323.97,321.8,31.2201
56,1502278560,322.16,324.04,324.04,322.16,25.3
57,1502278740,324.66,323.37,324.66,323.31,6.27
58,1502278920,323.37,323.69,323.69,323.01,6.49
59,1502279100,323.11,324.59,324.95,323.11,27.0457
60,1502279280,324.79,324.5,324.79,324.5,20.88
61,1502279460,324.5,324.76,324.76,324.5,4.56
62,1502279640,324.74,324.99,325.15,324.16,35.0578
63,1502279820,324.99,325.43,325.43,324.5,19.2594
64,1502280000,324.61,324.99,325.3,324.61,35.23
65,1502280180,324.98,324.86,325.1,324.86,11.7678
66,1502280360,324.8,324.78,324.82,324.7,26.42
