,time,open,close,high,low,vol
0,1499029200,2036.4,2038.64,2047.66,2025.74,83.7595
1,1499031000,2038.47,2064.98,2064.98,2032.66,83.2378
2,1499032800,2064.98,2059.45,2085.8,2056.42,77.139
3,1499034600,2059.45,2041.53,2069.53,2041.53,80.0744
4,1499036400,2041.53,2053.2,2057.61,2030.51,77.6852
5,1499038200,2053.2,2063.42,2066.67,2041.68,80.6772
6,1499040000,2063.42,2034.57,2066.17,2034.57,86.3556
7,1499041800,2034.57,1996.03,2034.57,1993.38,79.4461
8,1499043600,1996.03,1997.86,2005.5,1989.84,77.8947
9,1499045400,1993.57,1981.23,1993.57,1972.14,96.1838
10,1499047200,1981.23,1975.64,1985.88,1974.08,86.9784
11,1499049000,1975.64,1983.41,1984.56,1962.1,83.8794
12,1499050800,1983.41,1995.45,1995.45,1969.14,82.5131
13,1499052600,1995.45,1996.05,1999.15,1974.07,84.5888
14,1499054400,1996.05,2008.41,2008.41,1981.4,94.3686
15,1499056200,2008.41,2040.8,2048.26,1989.94,84.2563
16,1499058000,2040.8,2051.94,2082.78,2035.9,94.4841
17,1499059800,2051.94,2047.31,2069.18,2043.01,88.6101
18,1499061600,2050.35,2030.35,2050.35,2030.35,84.3759
19,1499063400,2030.35,2031.41,2049.9,2021.03,77.7997
20,1499065200,2031.41,2010.6,2035.82,2008.32,83.9915
21,1499067000,2010.83,2017.82,2034.03,2009.24,81.2269
22,1499068800,2017.82,2007.45,2024.86,2005.64,80.2511
23,1499070600,2007.45,2023.39,2025.32,2005.69,80.3289
24,1499072400,2023.39,2006.53,2028.65,2005.2,76.4697
25,1499074200,2006.53,1991.2,2010,1988.99,81.7247
26,1499076000,1991.2,2002.86,2003.57,1983,84.757
27,1499077800,2002.86,2005.01,2021.13,1992.35,71.6343
28,1499079600,2005.01,2010.2,2013.86,2000,74.0247
29,1499081400,2010.2,2029.14,2029.16,2009.81,75.4812
30,1499083200,2029.14,2021.19,2036.41,2014.01,85.2676
31,1499085000,2021.19,2032.59,2036.35,2015.36,84.0125
32,1499086800,2032.59,2024.01,2032.59,2008.17,84.6004
33,1499088600,2024.01,2052.34,2070.61,2024.01,72.7812
34,1499090400,2052.34,2064.52,2082.22,2050.52,87.9709
35,1499092200,2064.52,2040.05,2064.52,2026.56,78.66
36,1499094000,2040.05,2039.16,2042,2025.7,74.4461
37,1499095800,2037.94,2044.29,2052.84,2037.94,77.0123
38,1499097600,2044.29,2046.92,2061.1,2041.95,83.1841
39,1499099400,2046.92,2027.85,2046.92,2027.85,81.0879
40,1499101200,2027.85,2027.92,2030.57,2016.5,72.8915
41,1499103000,2027.92,2028.22,2035.94,2016.41,79.4431
42,1499104800,2028.22,2042.46,2044.27,2021.52,82.3465
43,1499106600,2042.46,2043.58,2044.52,2025.77,83.9949
44,1499108400,2043.58,2018.43,2043.58,2015.67,80.2305
45,1499110200,2018.43,2022.47,2027.59,2009.9,77.9645
46,1499112000,2022.41,2014.2,2028.95,2012.72,77.5364
47,1499113800,2014.2,2025.67,2031.39,2014.2,81.3416
48,1499115600,2025.67,2038.07,2044.46,2025.31,85.3559
49,1499117400,2038.07,2042.54,2059.93,2035.52,95.3958
50,1499119200,2042.54,2044.03,2058.98,2037.44,82.4441
51,1499121000,2044.03,2056,2059.79,2039.47,79.3763
52,1499122800,2056,2039.29,2056,2030.83,83.0197
53,1499124600,2039.29,2032.41,2046.63,2032.41,89.0327
54,1499126400,2032.41,2021.97,2044.18,2021.97,87.4213
55,1499128200,2024.89,2057.04,2060.96,2021.97,97.0123
56,1499130000,2057.04,2056.72,2071.45,2046.49,96.3354
57,1499131800,2056.73,2074.83,2079.57,2050.5,87.2232
58,1499133600,2074.83,2068.57,2086.65,2068.57,81.5334
59,1499135400,2068.57,2068.35,2071.35,2050,91.9059
60,1499137200,2068.35,2055.14,2070.83,2055.11,86.4516
61,1499139000,2055.14,2042.52,2064.31,2036.31,84.1787
62,1499140800,2042.52,2049.37,2052.17,2039.31,86.7913
63,1499142600,2049.37,2042.56,2051.56,2024.29,76.6121
64,1499144400,2042.56,2043.81,2054.16,2038.28,82.457
65,1499146200,2043.81,2053.31,2066.44,2043.81,85.2853
66,1499148000,2053.31,2042.78,2057.69,2037.85,85.823
67,1499149800,2042.78,2049.77,2056.3,2038.2,86.0553
68,1499151600,2049.77,2058.18,2059.21,2038.7,81.1278
69,1499153400,2058.18,2058.08,2073.44,2038.7,84.348
70,1499155200,2057.35,2078.2,2078.61,2054.54,94.98
71,1499157000,2078.2,2055.43,2078.22,2047.4,101.2853
72,1499158800,2055.43,2065.64,2067.43,2051.07,78.9782
73,1499160600,2065.64,2066.98,2069.75,2059.27,75.894
74,1499162400,2066.98,2066.08,2070.68,2052.77,78.3524
75,1499164200,2066.08,2068.99,2068.99,2049.76,95.0412
76,1499166000,2068.55,2052.08,2070.34,2052.08,79.6782
77,1499167800,2052.08,2063.87,2065.13,2049.39,82.5792
78,1499169600,2063.87,2055.08,2063.88,2037.04,83.1955
79,1499171400,2055.08,2049.34,2072.43,2040.72,82.8498
80,1499173200,2049.34,2049.1,2065.26,2043.03,91.3945
81,1499175000,2049.1,2045.5,2061.31,2029.81,89.1977
82,1499176800,2039.67,2057.58,2064.62,2030.78,79.3562
83,1499178600,2057.58,2049.29,2063.72,2044.8,89.9057
84,1499180400,2049.29,2021.73,2052.68,2021.73,76.2451
85,1499182200,2021.73,2015.49,2041.58,2012.31,77.3437
86,1499184000,2015.49,1993.46,2015.49,1990.7,78.5817
87,1499185800,1993.46,2002.46,2020.86,1990.55,79.9563
88,1499187600,2002.46,1995.87,2019.17,1990.33,86.5722
89,1499189400,1992.62,1998.58,2016.52,1990.47,76.8982
90,1499191200,1998.58,2004.15,2004.15,1988.58,90.0113
91,1499193000,2004.15,2025.25,2034.56,2004.15,86.4599
92,1499194800,2025.25,1999.11,2025.25,1998.47,77.1899
93,1499196600,1999.11,1985.24,1999.11,1967.24,83.1717
94,1499198400,1985.24,1981.08,1985.24,1963.01,80.0061
95,1499200200,1981.08,1966.08,1981.64,1953.43,85.514
96,1499202000,1966.08,1955.97,1966.08,1927.15,82.8931
97,1499203800,1955.97,1960.12,1964.88,1949.04,80.4139
98,1499205600,1960.12,1931.85,1960.12,1931.84,82.0735
99,1499207400,1941.68,1954.91,1964.87,1935.85,84.3688
100,1499209200,1954.91,1977.59,1977.59,1948.22,80.2661
101,1499211000,1971.57,1951.97,1975.42,1951.97,80.7575
102,1499212800,1951.97,1945.9,1960.42,1936.12,83.3503
103,1499214600,1945.9,1936.41,1950.45,1932.26,85.8202
104,1499216400,1936.41,1938.22,1950.41,1931.62,79.569
105,1499218200,1938.22,1940.23,1942.57,1930.44,89.8975
106,1499220000,1940.23,1938.79,1951.93,1927.07,77.9571
107,1499221800,1938.64,1935.44,1950.13,1919.63,85.5362
108,1499223600,1935.44,1947.55,1947.55,1935.44,79.9866
109,1499225400,1947.55,1936.01,1975.11,1936.01,80.4601
110,1499227200,1936.01,1925.47,1948.57,1925.47,80.1729
111,1499229000,1925.47,1924.05,1928.18,1916.46,85.8257
112,1499230800,1924.05,1949.67,1954.39,1919.82,75.5324
113,1499232600,1953.41,1952.83,1962.97,1932.97,83.5754
114,1499234400,1952.96,1960.21,1964.58,1939.76,85.5457
115,1499236200,1958.63,1939.06,1958.63,1937.09,81.4738
116,1499238000,1939.06,1941.77,1965.88,1939.06,80.9205
117,1499239800,1941.77,1921.24,1941.87,1921.24,83.3297
118,1499241600,1921.24,1930.19,1931.22,1916.51,72.611
119,1499243400,1930.19,1930.43,1939.88,1921.99,82.6377
120,1499245200,1930.43,1935.91,1947.06,1929.3,80.5877
121,1499247000,1935.91,1924.54,1938.46,1924.54,85.4902
122,1499248800,1924.54,1921.82,1926.09,1921.82,78.0015
123,1499250600,1921.82,1918.34,1926.03,1918.32,86.8895
124,1499252400,1918.34,1908.94,1918.34,1908.86,84.1172
125,1499254200,1908.94,1908.97,1908.97,1903.82,82.4005
126,1499256000,1908.97,1913.37,1928.83,1908.97,83.3315
127,1499257800,1913.37,1922.1,1923.15,1910.49,80.2177
128,1499259600,1922.1,1915.8,1923.02,1909.42,80.7837
129,1499261400,1915.8,1919.56,1923.84,1915.8,79.1325
130,1499263200,1919.59,1918.43,1928.87,1914.99,79.6433
131,1499265000,1918.43,1899.95,1921.15,1893.86,84.5846
132,1499266800,1899.95,1900.01,1909.53,1893.56,76.5293
133,1499268600,1900.01,1890.91,1911.07,1881.14,80.5828
134,1499270400,1890.91,1899.85,1905.06,1884.32,83.6254
135,1499272200,1899.85,1900.76,1904.62,1897.94,80.4404
136,1499274000,1902.27,1898.48,1909.99,1897.5,76.37
137,1499275800,1898.48,1912.79,1912.82,1897.65,82.9298
138,1499277600,1912.79,1921.58,1921.64,1896.17,81.357
139,1499279400,1921.58,1936.34,1936.34,1916.64,80.6235
140,1499281200,1936.34,1941.47,1946.05,1920.75,81.5704
141,1499283000,1941.47,1938.18,1949.63,1931.9,78.5867
142,1499284800,1940.71,1933.19,1941.72,1925.24,75.095
143,1499286600,1933.58,1918.69,1938.33,1917.81,76.4894
144,1499288400,1918.69,1945.35,1945.35,1918.58,78.9456
145,1499290200,1945.35,1952.02,1962.11,1944.4,79.8304
146,1499292000,1952.02,1983.39,1986.11,1937.47,87.9125
147,1499293800,1983.39,1977.11,1989.9,1970.74,90.7108
148,1499295600,1977.11,1946.44,1984.57,1938.7,87.2625
149,1499297400,1946.44,1954.34,1962.81,1943.19,83.5391
